file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
10,1,0,Top/discrimination,1.00,1,30May2014 18:24:58.0
10,1,0,Top/discrimination/gender,1.00,1,30May2014 18:24:58.0
10,1,0,Top/harassment,1.00,1,30May2014 18:24:58.0
100,1,0,Top/RS,1.00,1,30May2014 18:24:58.0
100,1,0,Top/RS/absense,1.00,1,30May2014 18:24:58.0
1009,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1011,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
102,1,0,Top/RS,1.00,1,30May2014 18:24:58.0
1022,1,0,Top/lateness,1.00,1,30May2014 18:24:58.0
1037,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1047,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1050,1,0,Top/corruption,1.00,1,30May2014 18:24:58.0
1052,1,0,Top/study_load,1.00,1,30May2014 18:24:58.0
1056,1,0,Top/dormitory/administration,1.00,1,30May2014 18:24:58.0
1056,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1056,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1059,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1059,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1059,1,0,Top/profanity,1.00,1,30May2014 18:24:58.0
1063,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1064,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1072,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1073,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1073,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1080,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1083,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1091,1,0,Top/campus,1.00,1,30May2014 18:24:58.0
1096,1,0,Top/teacher_inadequancy,1.00,1,30May2014 18:24:58.0
1097,1,0,Top/harassment/abuse,1.00,1,30May2014 18:24:58.0
1099,1,0,Top/discrimination,1.00,1,30May2014 18:24:58.0
11,1,0,Top/profanity,1.00,1,30May2014 18:24:58.0
1101,1,0,Top/campus,1.00,1,30May2014 18:24:58.0
1114,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 18:24:58.0
112,1,0,Top/profanity,1.00,1,30May2014 18:24:58.0
1141,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1146,1,0,Top/harassment/abuse,1.00,1,30May2014 18:24:58.0
1149,1,0,Top/teacher_inadequancy,1.00,1,30May2014 18:24:58.0
1149,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 18:24:58.0
115,1,0,Top/teacher_inadequancy,1.00,1,30May2014 18:24:58.0
1152,1,0,Top/corruption,1.00,1,30May2014 18:24:58.0
1157,1,0,Top/profanity,1.00,1,30May2014 18:24:58.0
1158,1,0,Top/corruption/pros,1.00,1,30May2014 18:24:58.0
116,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 18:24:58.0
116,1,0,Top/study_load,1.00,1,30May2014 18:24:58.0
1161,1,0,Top/discrimination,1.00,1,30May2014 18:24:58.0
1161,1,0,Top/study_relevance,1.00,1,30May2014 18:24:58.0
1169,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1171,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1178,1,0,Top/danger,1.00,1,30May2014 18:24:58.0
1183,1,0,Top/study_conditions,1.00,1,30May2014 18:24:58.0
1186,1,0,Top/study_conditions,1.00,1,30May2014 18:24:58.0
1187,1,0,Top/danger/thieves,1.00,1,30May2014 18:24:58.0
1188,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1190,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1192,1,0,Top/RS,1.00,1,30May2014 18:24:58.0
1199,1,0,Top/teacher_inadequancy,1.00,1,30May2014 18:24:58.0
1202,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1202,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1203,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1206,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1207,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1211,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1212,1,0,Top/dormitory,1.00,1,30May2014 18:24:58.0
1215,1,0,Top/dormitory/conditions,1.00,1,30May2014 18:24:58.0
1218,1,0,Top/RS,1.00,1,30May2014 18:24:58.0
1218,1,0,Top/RS/inconsistency,1.00,1,30May2014 18:24:58.0
