file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
100,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
102,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1192,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1218,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
123,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1255,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
130,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1459,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1460,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1464,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
148,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
152,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
162,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
166,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
171,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1853,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1857,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1887,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1889,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
1905,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2081,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2082,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2084,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2086,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2161,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2192,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2207,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2274,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2298,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2383,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2410,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2411,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
246,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2462,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2647,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2943,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
2946,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
331,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
342,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3486,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3492,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3496,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3503,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3511,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3516,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3522,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3548,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3554,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3555,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3619,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3630,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3637,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3640,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3674,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3683,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
372,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3735,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3761,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
3914,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
4177,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
4226,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
4238,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
4249,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
4259,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
4360,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
46,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
488,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
49,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
53,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
865,1,0,Top/RS,1.00,1,30May2014 17:15:37.0
