file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
2622,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
2865,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
2900,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
2901,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
2916,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
3100,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
3510,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
3514,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
3838,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
3897,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
3908,1,0,Top/danger/bandit,1.00,1,30May2014 17:06:52.0
