file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1091,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
1101,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
1244,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
1260,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
1262,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
1284,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
1461,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
1464,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
2030,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
2241,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
2250,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
2364,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
2365,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
290,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
294,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3026,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3396,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3397,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3403,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3409,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3412,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3649,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3651,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3864,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3957,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
3958,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4005,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4121,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4243,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4248,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4254,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4295,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4296,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4297,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4302,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
4359,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
478,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
487,1,0,Top/campus,1.00,1,30May2014 17:04:18.0
