file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1047,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1056,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1059,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1073,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1080,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1171,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1188,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1202,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1207,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1215,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1226,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1227,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1274,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
128,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1291,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1349,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1377,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1406,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1407,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1433,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1503,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1511,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1513,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1562,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1578,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1619,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1621,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1622,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1623,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1624,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
174,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1788,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1789,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1797,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1798,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1862,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1945,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1984,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1985,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1996,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
1998,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
2004,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
2024,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
2035,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
2097,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
2100,1,0,Top/dormitory/conditions,1.00,1,30May2014 17:11:17.0
