file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1050,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1152,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1237,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1288,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1319,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
132,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1321,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1326,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1337,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1356,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1399,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1418,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1430,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1433,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1434,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1435,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1445,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1486,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
15,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1645,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1691,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1693,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
17,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1708,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1770,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
1941,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
198,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2039,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2044,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2046,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2094,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
210,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2142,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2158,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2264,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2425,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2633,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2659,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2685,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
271,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2717,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2724,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
273,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2744,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2805,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2817,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2823,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2827,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
2928,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
30,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
3024,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
31,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
3149,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
3217,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
3237,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
3317,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
3336,1,0,Top/corruption,1.00,1,30May2014 17:04:52.0
