file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
10,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1099,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1161,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
131,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1422,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1424,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1425,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
15,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1550,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1561,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1695,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1709,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
1742,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
2205,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
2246,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
2285,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
241,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
2533,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
266,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
276,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
2927,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3075,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3076,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3077,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3327,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3352,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3591,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3822,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
3964,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
4057,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
4223,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
4339,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
4345,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
4349,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
470,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
512,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
52,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
556,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
573,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
580,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
781,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
782,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
87,1,0,Top/discrimination,1.00,1,30May2014 17:08:37.0
