file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1009,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1011,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1037,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1056,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1059,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1063,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1064,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1072,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1073,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1083,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1141,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1169,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1190,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1202,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1203,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1206,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1211,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1212,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1227,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1228,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1246,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1288,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1293,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1294,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1295,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1297,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1298,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1299,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1302,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1307,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1308,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1314,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
135,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1355,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1356,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1403,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1446,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1451,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1452,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1453,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1454,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1455,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1476,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1483,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1486,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1513,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1524,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1535,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1548,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1577,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1578,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1589,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1611,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1618,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1689,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1787,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1788,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1789,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1790,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1791,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1792,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1793,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1794,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1795,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1796,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1797,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1799,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1817,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1922,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
193,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1941,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1945,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1947,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1950,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1954,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1965,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1967,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1986,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1991,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1995,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1997,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
1998,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
2003,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
2004,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
2024,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
2032,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
2044,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
2094,1,0,Top/dormitory,1.00,1,30May2014 17:10:12.0
