file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
135,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
1452,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
1453,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
2036,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
2391,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3373,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3729,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3794,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3894,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3904,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3905,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3906,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
3909,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
4071,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
4072,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
4073,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
532,1,0,Top/danger/drugs,1.00,1,30May2014 17:07:21.0
