file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
10,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
131,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1324,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1335,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1336,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1340,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1348,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1352,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1357,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1422,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1424,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1425,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
15,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1550,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1561,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1709,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1742,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1771,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
1963,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
199,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
2205,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
2246,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
2285,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
241,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
2533,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
2557,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
276,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3327,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3352,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3829,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3924,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3925,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3928,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3931,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3932,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3937,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3939,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3943,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
3944,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
4057,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
4062,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
4339,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
4345,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
512,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
52,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
556,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
573,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
580,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
583,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
63,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
781,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
782,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
87,1,0,Top/harassment,1.00,1,30May2014 17:12:23.0
