file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1405,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1448,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1522,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1549,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1550,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1617,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1642,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
166,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1675,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1703,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1706,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1721,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1726,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1770,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
180,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
1965,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
199,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
209,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
2202,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
2264,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
2458,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
2580,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
266,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
2746,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
275,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
2833,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
2922,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3018,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3027,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3183,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
329,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
341,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
350,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3519,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3537,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
359,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3667,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
367,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3674,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3725,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3737,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
3962,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
42,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
4313,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
45,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
468,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
470,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
495,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
534,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
566,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
705,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
729,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
87,1,0,Top/teacher_inadequancy/human_qualities,1.00,1,30May2014 17:19:32.0
