file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1218,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
123,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
130,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
1464,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
152,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
162,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
171,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
2082,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
2084,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
2192,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
2298,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
246,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
2462,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
2946,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3486,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3496,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3503,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3522,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3555,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3619,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3683,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
3735,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
4238,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
4249,1,0,Top/RS/inconsistency,1.00,1,30May2014 17:16:35.0
