file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1022,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
1237,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
128,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
1533,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
1642,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
166,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
1763,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
181,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
184,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
2278,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
2412,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
2423,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
2757,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
2990,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
3535,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
43,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
456,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
473,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
528,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
640,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
643,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
650,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
68,1,0,Top/lateness,1.00,1,30May2014 17:14:39.0
