file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1059,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
11,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
112,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1157,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1233,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1271,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1293,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1314,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1360,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1382,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1468,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1495,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1550,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1578,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
159,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1611,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
162,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1687,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1717,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1758,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
1770,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
199,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2052,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2071,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2190,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2358,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2389,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2431,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2497,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
25,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
2586,1,0,Top/profanity,1.00,1,30May2014 17:15:08.0
