file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1158,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
1323,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
1693,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
1708,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
28,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
29,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
30,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3027,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
31,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
32,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
33,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
332,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
34,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
35,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
36,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
37,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3787,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3795,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
38,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3954,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3960,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3961,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3962,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3969,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3974,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
3984,1,0,Top/corruption/pros,1.00,1,30May2014 17:05:53.0
