file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1183,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
1186,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
1355,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
175,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
1843,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
185,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
191,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
193,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2149,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2151,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2247,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2425,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2432,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2433,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2434,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2440,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2442,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2450,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
255,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2707,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2720,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2791,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2793,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2799,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2803,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2810,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2814,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2818,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2826,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
2827,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3000,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3152,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3272,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3296,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3345,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3346,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3347,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3484,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3710,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3735,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
386,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
388,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
3921,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
40,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
4348,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
497,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
509,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
512,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
517,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
64,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
687,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
690,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
691,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
692,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
703,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
705,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
713,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
726,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
750,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
766,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
775,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
778,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
810,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
864,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
877,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
887,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
888,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
889,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
895,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
912,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
918,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
921,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
924,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
927,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
934,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
942,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
943,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
944,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
992,1,0,Top/study_conditions,1.00,1,30May2014 17:17:13.0
