file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1052,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
116,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1262,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
130,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1433,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1449,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1460,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
163,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1719,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1761,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
185,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1981,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
1998,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
2106,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
2108,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
254,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
268,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
2701,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
2717,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
2727,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
2861,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
2996,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3003,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3224,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
332,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3374,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3593,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3635,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3650,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3664,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
3667,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4203,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4246,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4250,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4251,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4262,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4265,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4298,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
4340,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
44,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
473,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
49,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
534,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
546,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
7,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
729,1,0,Top/study_load,1.00,1,30May2014 17:17:42.0
