file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1161,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
126,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
1385,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
1413,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
174,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
175,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
1853,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
2161,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
2298,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
2299,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
2805,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
287,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3160,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3168,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3176,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3399,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3552,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3619,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3735,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3885,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
3969,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
4079,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
4331,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
4345,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
553,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
58,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
807,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
93,1,0,Top/study_relevance,1.00,1,30May2014 17:18:14.0
