file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1096,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1149,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
115,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1199,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1373,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1393,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1412,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1413,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
152,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1546,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1549,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1550,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1692,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1695,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1703,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1706,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1710,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1727,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1881,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
1883,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
199,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
209,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2161,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2163,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2193,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2264,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2276,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2297,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2433,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2458,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2485,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
2660,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
3000,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
316,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
329,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
3487,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
3590,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
3682,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
3684,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
4220,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
4339,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
4355,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
45,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
460,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
47,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
574,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
728,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
87,1,0,Top/teacher_inadequancy,1.00,1,30May2014 17:18:45.0
